first_name,last_name,dob,gender
SANDRA,DUREN,4/5/1963,F
MARTHA,LEAVEY,3/22/1994,F
JOSEPHINE,ORIOLA,10/10/1958,M
DEXTER,MESSANA,8/13/1983,M
ERMELINDA,MESSANA,3/22/1982,M
WILLIE,BROWN,6/8/1995,F
EMANUELA,REISS,12/29/1921,F
DOROTHY,POLICHETTI,1/1/1930,M
LOELLA,HARMON,12/30/1997,M
Susie,KREHLING,10/31/1982,F
WENDY,CONN,2/10/1976,F
WILLIAM,MIHALIK,5/15/1923,F
KIRK,DORE,6/5/1993,M
ARTHUR,DORE,5/19/1963,F
ROSEMARY,TWOMEY,4/21/1920,F
DIANE,LAVASSEUR,5/22/1908,F
Annette,BLACK,8/5/1994,F
ETHEL,BUCHANAN,1/19/1927,F
ROSEMARY,STONE JR,2/15/1990,F
ANGELA,TIBBETTS,6/30/1979,F
MARCO,LYNCH-PACHECO,8/13/1943,M
ANGELA,DONOGHUE,4/27/1913,F
PAUL,FERRICK,5/7/1975,F
FRANCISCO,KACHADORIAN,5/1/1966,M
GERALDINE,KACHADORIAN,2/20/1942,F
V,SHORT,10/9/1960,F
RONALD,MARSHALL,3/3/1943,F
BARBARA,KAMENSKY,9/14/1910,F
FANNIE,COUSINS,3/1/1946,F
LAXMIBEN,WANDELEAR,7/24/1935,M
BEVERLY,TENANDER,8/15/1981,F
THERESA,OKELLY,10/13/1922,F
ANGELA,WANDELEAR,2/25/1963,F
Margaret,MACFARLAND,2/18/1947,M
DAVID,BROWN,1/28/1934,M
JAMES,BERGER,3/19/1917,M
KATHERINE,TRONCOSO,5/21/1993,F
CARROLL,KARLIK,5/17/1940,M
WILLIAM,SCHRADER,1/29/1918,F
LUCILLE,MCGHEE JR,1/26/1929,F
BEVERLY,KEARNS,2/5/1974,F
LOWE,FINCKE,10/9/1968,F
THOMAS,LOMBARDI,6/21/1941,F
RAYMOND,FINCKE,1/10/1987,F
WILLIAM,AVERY,9/16/1939,M
GEORGE,CLARKE,7/20/1941,F
WILLIAM,STRUTHERS,5/7/1983,F
DEXTER,BOYD,1/21/1948,M
SUZANNE,Pandya,2/17/1923,M
VIRGINIA,MICKELSON,1/17/1973,F
JOSEPHINE,JOHNSON,11/12/1980,M
ANGELA,GRUOL,5/24/1979,F
KELLY,GRUOL,1/21/1989,M
ANGELA,WHYTE,8/14/1966,F
RICHARD,ROBACHINSKI,6/19/1967,M
ROSEMARY,ROBACHINSKI,8/30/1922,F
ORLANDO,BOND,11/22/1908,F
MARCO,RADCLIFF,3/15/1918,M
ROBERTA,FORMAN,2/14/1970,M
RAYMOND,FORMAN,10/8/1901,F
MARTHA,LITTLE,2/26/1945,F
DOMINICK,MORSE,4/1/1998,M
SHIRLEY,PIERCE,9/9/1939,F
JUDITH,MALDONADO-ORTIZ,8/13/1985,F
ORLANDO,DAMON,9/25/1953,F
LOUIS,DAOULABANI,4/22/1955,M
ROBERT,MAZZARELLA,5/15/1955,F
WILLIAM,MCDONALD,10/12/1946,M
ANTHONY,MCDONALD,11/4/1936,F
MARIE,ST PIERRE,3/25/1933,M
THERESA,FINCKE,7/29/1938,F
MANUEL,BOYD,3/22/1936,F
ELIZABETH,BALDASSARI,9/29/1963,F
VIRGINIA,HALLORAN,9/7/1916,F
REBECCA,GRAHAM,6/10/1972,M
ELIZABETH,PERHONIS,4/19/1998,M
GILBERT,LORENZO,12/1/1948,F
ANGELA,BARCLAY,10/27/1976,F
ALAN,HOLT,12/13/1941,F
GEORGE,QUIN,4/23/1970,F
LUBA,SLAYTON,4/28/1981,M
KIRK,YOUNG,10/9/1960,M
BRIAN,GARDNER,6/24/1924,M
WILLIE,GARDNER,4/22/1946,F
ROSEMARY,RIVERA,12/26/1972,F
MARK,DWELLY,12/10/1998,F
MICHAEL,LYONS,8/30/1902,F
GERALD,HESS,5/16/1997,F
ELIZABETH,STANLEY,9/15/1930,F
ARLENE,GUY,8/27/1926,F
WILLIAM,BOYD,3/21/1998,F
PRISCILLA,COURY,1/11/1932,F
DIANE,NGUYEN,9/13/1974,M
ANN,HERLIHY,7/12/1933,M
